"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "539931990393225217" "RT @UPS: Carson, 4, wants to be like his UPS driver, Ernie. So we gave him his wish. http://t.co/LjnVxMfTGC #WishesDelivered
https://t.co/0…" "ssartt24" TRUE FALSE 1417564792
"2" "539931950085963777" "RT @UPS: Carson, 4, wants to be like his UPS driver, Ernie. So we gave him his wish. http://t.co/LjnVxMfTGC #WishesDelivered
https://t.co/0…" "cmay116" TRUE FALSE 1417564783
"3" "539931927189274624" "RT @UPS: Carson, 4, wants to be like his UPS driver, Ernie. So we gave him his wish. http://t.co/LjnVxMfTGC #WishesDelivered
https://t.co/0…" "KathrynDowen" TRUE FALSE 1417564777
"4" "539931906481983488" "RT @UPS: Carson, 4, wants to be like his UPS driver, Ernie. So we gave him his wish. http://t.co/LjnVxMfTGC #WishesDelivered
https://t.co/0…" "gogators1974" TRUE FALSE 1417564772
"5" "539931861066080256" "@UPS cutest story ever" "tiki_loco" FALSE FALSE 1417564761
"6" "539931847291990017" "RT @UPS: Carson, 4, wants to be like his UPS driver, Ernie. So we gave him his wish. http://t.co/LjnVxMfTGC #WishesDelivered
https://t.co/0…" "mangobryan01" TRUE FALSE 1417564758
"7" "539931773635809280" "RT @UPS: Carson, 4, wants to be like his UPS driver, Ernie. So we gave him his wish. http://t.co/LjnVxMfTGC #WishesDelivered
https://t.co/0…" "itsbenbruhh_" TRUE FALSE 1417564740
"8" "539931585055715329" "RT @weyhrauchlaw: PILOTS, the FAA is trying to hoodwink u. Don't fall for the HIMS scam. Know your rights! http://t.co/WNA6Nf2Qj2 @UPS @UPS…" "cvletuxh" TRUE FALSE 1417564695
"9" "539931572288249856" "RT @weyhrauchlaw: PILOTS, the FAA is trying to hoodwink u. Don't fall for the HIMS scam. Know your rights! http://t.co/WNA6Nf2Qj2 @UPS @UPS…" "osdkush026" TRUE FALSE 1417564692
"10" "539931561538228224" "@AdonisAncestors @UPS lol no doubt." "Shadow4MVP" FALSE FALSE 1417564690
