"id" "text" "screenname" "isretweet" "retweeted" "created"
"1" "539569633482002433" "RT @UPS: It’s Cyber Monday–do you have UPS My Choice?Choose the delivery options that fit your life&amp;keep shopping hassle-free!http://t.co/j…" "MelissaTippie" TRUE FALSE 1417478399
"2" "539569619624026112" "RT @UPS: Join us tomorrow at 2 PM EST for a #TwitterChat on #GivingTuesday with @ToysforTots_USA, @SalvationArmyUS &amp; @BGCA_Clubs. #WishesDe…" "MelissaTippie" TRUE FALSE 1417478396
"3" "539569501625659392" "@UPS what exactly is delivery by \"end of day\"? It's 7pm and the package hasn't arrived." "CusstomerSrvce" FALSE FALSE 1417478368
"4" "539569413591011328" "@UPS @USPS deliver my package tonight. I know you have it!" "MimiCakesx" FALSE FALSE 1417478347
"5" "539569075270475776" "RT @weyhrauchlaw: PILOTS BE ADVISED, the FAA has condoned OFF-DUTY randomized testing of HIMS PILOTS: http://t.co/Il93S8TDaX @UPS @UPSHelp …" "premslata" TRUE FALSE 1417478266
"6" "539569067754258433" "RT @weyhrauchlaw: PILOTS BE ADVISED, the FAA has condoned OFF-DUTY randomized testing of HIMS PILOTS: http://t.co/Il93S8TDaX @UPS @UPSHelp …" "ismihake" TRUE FALSE 1417478265
"7" "539568821234049026" "...@UPS, @amazon, why did my package go from your distro in West Columbia, to NC, if it is going to come back to Columbia?" "Mijder" FALSE FALSE 1417478206
"8" "539568788144799745" "RT @weyhrauchlaw: PILOTS BE ADVISED, the FAA has condoned OFF-DUTY randomized testing of HIMS PILOTS: http://t.co/Il93S8TDaX @UPS @UPSHelp …" "osdkush026" TRUE FALSE 1417478198
"9" "539568409571491840" "@UPS 12 hours fam " "Pauly_831" FALSE FALSE 1417478108
"10" "539568290545537024" "@UPS we'd love to learn what it's like to work there, care to share with us at http://t.co/EpSiXjn6Vs?" "JobbuhNetwork" FALSE FALSE 1417478079
"11" "539568045849456643" "@UPS you guys are a joke. Your customer service is horrible and the past 5 packages I've received have been late. Tighten up" "ItsJubaa" FALSE FALSE 1417478021
